Tarih ;kumulatif_yolcu;kriz_durumu;
2018-01;201.588;0;
2018-02;385.751;0;
2018-03;768.145;0;
2018-04;1.895.165;0;
2018-05;4.686.014;0;
2018-06;8.271.397;0;
2018-07;12.413.062;0;
2018-08;16.510.518;0;
2018-09;20.176.976;0;
2018-10;23.105.929;0;
2018-11;23.776.155;0;
2018-12;24.127.993;0;
2019-01;332.776;0;
2019-02;627.575;0;
2019-03;1.161.456;0;
2019-04;2.774.121;0;
2019-05;5.949.312;0;
2019-06;10.080.397;0;
2019-07;14.828.737;0;
2019-08;19.761.325;0;
2019-09;23.997.304;0;
2019-10;27.499.650;0;
2019-11;28.311.947;0;
2019-12;28.720.491;0;
2020-1;405.039;0;
2020-2;774.290;0;
2020-3;1.041.700;1;
2020-4;1.043.828;1;
2020-5;1.045.763;1;
2020-6;1.071.521;1;
2020-7;1.408.394;1;
2020-8;2.799.116;1;
2020-9;4.703.191;1;
2020-10;6.209.217;1;
2020-11;6.484.148;1;
2020-12;6.584.984;1;
2021-1;108.548;1;
2021-2;189.562;1;
2021-3;466.721;1;
2021-4;825.743;1;
2021-5;1.335.643;1;
2021-6;2.614.691;1;
2021-7;5.893.866;0;
2021-8;9.578.959;0;
2021-9;12.869.218;0;
2021-10;16.172.272;0;
2021-11;16.929.467;0;
2021-12;17.247.876;0;
2022-1;305.519;0;
2022-2;568.615;1;
2022-3;969.900;1;
2022-4;2.151.206;1;
2022-5;4.225.380;0;
2022-6;7.558.390;0;
2022-7;11.953.738;0;
2022-8;16.535.249;0;
2022-9;20.378.639;0;
2022-10;23.778.452;0;
2022-11;24.743.296;0;
2022-12;25.266.645;0;
2023-1;468.545;0;
2023-2;898.984;0;
2023-3;1.528.537;0;
2023-4;3.248.061;0;
2023-5;6.069.973;0;
2023-6;9.962.455;0;
2023-7;14.835.463;0;
2023-8;19.886.545;0;cus_verisi
2023-9;24.185.775;0;
2023-10;27.959.014;0;
2023-11;28.926.907;0;
2023-12;29.509.787;0;
